event_id,continent,country,region,latitude,longitude,event_type,depth_km,magnitude,plate_involved_1,plate_involved_2,movement_type,velocity_mm_per_year,impact_summary,source_url,date_observed
EVT20130128_0000,Australia,China,Region_49,20.715,-42.7402,Subduction Zone,586.83,7.9,Eurasian Plate,North American Plate,Divergent,9.01,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2013-01-28
EVT20160217_0001,Australia,Indonesia,Region_3,-83.9981,56.0681,Delamination,519.88,9.2,Arabian Plate,African Plate,Divergent,58.63,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2016-02-17
EVT20000514_0002,Antarctica,India,Region_43,80.3454,-43.0962,Transform Fault,61.74,4.4,Eurasian Plate,Indian Plate,Divergent,53.83,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2000-05-14
EVT20060220_0003,Africa,Turkey,Region_27,-65.9873,40.9884,Delamination,307.82,7.2,Pacific Plate,African Plate,Convergent,48.25,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2006-02-20
EVT20190824_0004,North America,USA,Region_37,16.464,-8.1056,Delamination,125.84,6.8,Arabian Plate,Eurasian Plate,Transform,95.99,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2019-08-24
EVT20080210_0005,Europe,Ethiopia,Region_10,65.1824,-136.8074,Convergent Zone,364.11,8.9,North American Plate,African Plate,Convergent,51.03,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2008-02-10
EVT20170827_0006,Australia,China,Region_60,-0.2299,26.7709,Convergent Zone,251.41,7.6,North American Plate,Pacific Plate,Divergent,63.8,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2017-08-27
EVT20000127_0007,Africa,Turkey,Region_58,-1.8769,-118.9313,Transform Fault,581.16,8.4,North American Plate,Arabian Plate,Convergent,60.21,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2000-01-27
EVT20050304_0008,Antarctica,Indonesia,Region_93,30.9882,-42.0024,Subduction Zone,583.76,5.7,Pacific Plate,Eurasian Plate,Transform,54.66,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2005-03-04
EVT20171111_0009,Asia,Indonesia,Region_3,22.6307,-153.911,Rift,272.76,5.8,North American Plate,North American Plate,Transform,65.18,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2017-11-11
EVT20020710_0010,Asia,Ethiopia,Region_26,51.8545,-104.2415,Rift,481.13,4.8,North American Plate,Eurasian Plate,Divergent,78.81,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2002-07-10
EVT20060323_0011,Europe,India,Region_19,-48.914,148.1334,Subduction Zone,681.96,8.7,African Plate,North American Plate,Divergent,81.02,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2006-03-23
EVT20111121_0012,Europe,USA,Region_23,69.5785,63.4804,Delamination,584.91,8.5,Indian Plate,Arabian Plate,Transform,5.94,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2011-11-21
EVT20110512_0013,Australia,Ethiopia,Region_39,-30.041,-73.0583,Convergent Zone,327.25,8.0,Arabian Plate,Eurasian Plate,Transform,29.07,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2011-05-12
EVT20120501_0014,Europe,Turkey,Region_84,79.3037,-107.6873,Transform Fault,296.98,8.6,North American Plate,Eurasian Plate,Divergent,39.31,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2012-05-01
EVT20110610_0015,Europe,China,Region_97,83.9219,101.3901,Rift,699.67,4.5,Eurasian Plate,Indian Plate,Transform,39.7,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2011-06-10
EVT20240815_0016,Africa,Indonesia,Region_19,12.5167,-60.2119,Delamination,477.4,4.3,African Plate,Pacific Plate,Transform,89.56,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2024-08-15
